STT_ID;STT;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
010;Altstadt;10.815;10.839;10.790;10.666;10.525;10.669;10.740;10.859;10.916;11.096;11.112;11.220;11.282;11.463;11.545;11.762;11.866;11.894;11.923;11.947;11.987;11.950;12.064;12.116;12.138;12.080;11.952;12.129;12.311
020;Paradies;4.856;4.988;5.001;4.976;4.988;5.029;5.113;5.366;5.471;5.435;5.487;5.454;5.711;5.863;5.929;6.017;5.808;5.813;6.030;6.032;6.122;6.116;6.161;6.113;6.097;5.994;6.009;6.202;6.023
030;Petershausen-West;12.494;12.746;12.556;12.266;12.457;12.348;12.417;12.542;12.571;12.507;12.397;12.431;12.635;12.927;13.071;13.208;13.436;14.202;14.843;14.891;15.347;15.552;15.616;16.002;16.021;15.820;16.082;16.309;16.175
035;Petershausen-Ost;6.285;6.357;6.269;6.274;6.277;6.267;6.274;6.393;6.489;6.410;6.418;6.522;6.479;6.565;6.662;6.743;6.828;6.892;6.938;7.067;7.120;7.156;7.187;7.273;7.248;7.270;7.245;7.267;7.332
040;Königsbau;5.130;5.360;5.359;5.337;5.269;5.397;5.490;5.408;5.341;5.321;5.354;5.345;5.344;5.380;5.233;5.222;5.536;5.569;5.662;5.773;5.853;6.146;6.194;6.248;6.181;6.254;6.507;6.669;6.590
050;Allmannsdorf;4.742;4.733;4.762;4.757;4.769;4.859;4.919;4.991;5.078;5.202;5.158;5.160;5.122;5.156;5.193;5.268;5.274;5.227;5.241;5.293;5.315;5.305;5.334;5.341;5.348;5.308;5.328;5.421;5.416
060;Staad;1.717;1.699;1.685;1.682;1.651;1.635;1.677;1.645;1.649;1.668;1.684;1.704;1.683;1.703;1.738;1.747;1.710;1.761;1.790;1.813;1.797;1.807;1.813;1.793;1.779;1.840;1.816;1.846;1.814
070;Fürstenberg;11.233;11.161;11.513;11.519;11.593;11.428;11.488;11.509;11.547;11.455;11.435;11.323;11.234;11.349;11.473;11.611;11.680;11.663;11.686;11.747;12.022;12.233;12.433;12.346;12.500;12.369;12.382;12.465;12.490
080;Wollmatingen;3.622;3.826;4.062;4.426;4.749;4.944;5.008;5.111;5.230;5.441;5.581;5.648;5.665;5.826;6.004;6.137;6.232;6.357;6.561;6.613;6.683;6.876;6.795;6.784;6.775;6.742;6.667;6.645;6.743
090;Industriegebiet;926;898;895;876;850;822;847;877;916;918;902;895;886;883;883;908;933;915;960;951;1.024;1.081;1.108;1.093;1.048;990;1.002;1.102;1.215
100;Egg;415;454;447;481;469;509;556;589;616;628;615;619;639;627;616;646;699;731;736;770;757;779;761;763;812;788;805;833;805
110;Litzelstetten;3.744;3.721;3.779;3.706;3.707;3.695;3.684;3.733;3.705;3.734;3.763;3.775;3.773;3.780;3.834;3.854;3.810;3.810;3.878;3.870;3.819;3.841;3.814;3.831;3.861;3.823;3.785;3.820;3.818
120;Dingelsdorf;2.000;2.015;2.003;2.053;2.008;2.049;2.019;2.006;2.050;2.072;2.072;2.035;2.024;2.048;2.078;2.082;2.103;2.121;2.138;2.122;2.142;2.137;2.131;2.094;2.098;2.082;2.056;2.075;2.078
130;Dettingen;3.111;3.106;3.077;3.040;3.033;3.061;3.046;3.023;2.991;2.991;3.010;3.017;3.011;3.024;3.064;3.069;3.055;3.061;3.048;3.124;3.141;3.348;3.334;3.270;3.289;3.342;3.399;3.422;3.420
140;Wallhausen;1.144;1.148;1.140;1.152;1.094;1.092;1.119;1.128;1.124;1.134;1.129;1.099;1.060;1.083;1.091;1.116;1.130;1.123;1.123;1.166;1.161;1.151;1.147;1.123;1.137;1.135;1.129;1.150;1.130
